,answer,,,,,output,,,
,ch1,ch2,ch3,ch4,,ch1,ch2,ch3,ch4
0,0,1,0,,0,0.9994,0.0006,,
1,0,1,0,,0,0.9995,0.0005,,
2,0,1,0,,0,0.9996,0.0004,,
3,0,1,0,,0,0.9996,0.0004,,
4,0,1,0,,0,0.9996,0.0004,,
5,0,1,0,,0,0.9997,0.0003,,
6,0,1,0,,0,0.9997,0.0003,,
7,0,1,0,,0,0.9997,0.0003,,
8,0,1,0,,0,0.9998,0.0002,,
9,0,1,0,,0,0.9998,0.0002,,
10,0,1,0,,0,0.9998,0.0002,,
11,0,1,0,,0,0.9998,0.0002,,
12,0,1,0,,0,0.9998,0.0002,,
13,0,1,0,,0,0.9999,0.0001,,
14,0,1,0,,0,0.9999,0.0001,,
15,0,1,0,,0,0.9999,0.0001,,
16,0,1,0,,0,0.9999,0.0001,,
17,0,1,0,,0,0.9999,0.0001,,
18,0,1,0,,0,0.9999,0.0001,,
19,0,1,0,,0,0.9999,0.0001,,
20,0,1,0,,0,0.9999,0.0001,,
21,0,1,0,,0,0.9999,0.0001,,
22,0,1,0,,0,0.9999,0.0001,,
23,0,1,0,,0,1,0,,
24,0,1,0,,0,1,0,,
25,0,1,0,,0,1,0,,
26,0,1,0,,0,1,0,,
27,0,1,0,,0,1,0,,
28,0,1,0,,0,1,0,,
29,0,1,0,,0,1,0,,
30,0,1,0,,0,1,0,,
31,0,1,0,,0,1,0,,
32,0,1,0,,0,1,0,,
33,0,1,0,,0,1,0,,
34,0,1,0,,0,1,0,,
35,0,1,0,,0,1,0,,
36,0,1,0,,0,1,0,,
37,0,1,0,,0,1,0,,
38,0,1,0,,0,1,0,,
39,0,1,0,,0,1,0,,
40,0,1,0,,0,1,0,,
41,0,1,0,,0,1,0,,
42,0,1,0,,0,1,0,,
43,0,1,0,,0,1,0,,
44,0,1,0,,0,1,0,,
45,0,1,0,,0,1,0,,
46,0,1,0,,0,1,0,,
47,0,1,0,,0,1,0,,
48,0,1,0,,0,1,0,,
49,0,1,0,,0,1,0,,
50,0,1,0,,0,1,0,,
51,0,1,0,,0,1,0,,
52,0,1,0,,0,1,0,,
53,0,1,0,,0,1,0,,
54,0,1,0,,0,1,0,,
55,0,1,0,,0,1,0,,
56,0,1,0,,0,1,0,,
57,0,1,0,,0,1,0,,
58,0,1,0,,0,1,0,,
59,0,1,0,,0,1,0,,
60,0,1,0,,0,1,0,,
61,0,1,0,,0,1,0,,
62,0,1,0,,0,1,0,,
63,0,1,0,,0,1,0,,
64,0,1,0,,0,1,0,,
65,0,1,0,,0,1,0,,
66,0,1,0,,0,1,0,,
67,0,1,0,,0,1,0,,
68,0,1,0,,0,1,0,,
69,0,1,0,,0,1,0,,
70,0,1,0,,0,1,0,,
