,answer,,,,,output
,ch1,ch2,ch3,ch4,,ch1,ch2,ch3,ch4
23166,1.0000,0.0000,0.0000,0.0000,,0.9984,0.0001,0.0000,0.0015,
23166,1.0000,0.0000,0.0000,0.0000,,0.9984,0.0001,0.0000,0.0015,
23166,1.0000,0.0000,0.0000,0.0000,,0.9984,0.0001,0.0000,0.0015,
23166,1.0000,0.0000,0.0000,0.0000,,0.9985,0.0001,0.0000,0.0015,
23166,1.0000,0.0000,0.0000,0.0000,,0.9985,0.0001,0.0000,0.0014,
23166,1.0000,0.0000,0.0000,0.0000,,0.9985,0.0001,0.0000,0.0014,
23166,1.0000,0.0000,0.0000,0.0000,,0.9985,0.0001,0.0000,0.0014,
23166,1.0000,0.0000,0.0000,0.0000,,0.9985,0.0001,0.0000,0.0014,
23166,1.0000,0.0000,0.0000,0.0000,,0.9986,0.0001,0.0000,0.0014,
23166,1.0000,0.0000,0.0000,0.0000,,0.9986,0.0001,0.0000,0.0013,
23166,1.0000,0.0000,0.0000,0.0000,,0.9986,0.0001,0.0000,0.0013,
23166,1.0000,0.0000,0.0000,0.0000,,0.9986,0.0001,0.0000,0.0013,
23166,1.0000,0.0000,0.0000,0.0000,,0.9986,0.0001,0.0000,0.0013,
23166,1.0000,0.0000,0.0000,0.0000,,0.9986,0.0001,0.0000,0.0013,
23166,1.0000,0.0000,0.0000,0.0000,,0.9987,0.0001,0.0000,0.0012,
23166,1.0000,0.0000,0.0000,0.0000,,0.9987,0.0001,0.0000,0.0012,
23166,1.0000,0.0000,0.0000,0.0000,,0.9987,0.0001,0.0000,0.0012,
23166,1.0000,0.0000,0.0000,0.0000,,0.9987,0.0001,0.0000,0.0012,
23166,1.0000,0.0000,0.0000,0.0000,,0.9987,0.0001,0.0000,0.0012,
23166,1.0000,0.0000,0.0000,0.0000,,0.9987,0.0001,0.0000,0.0012,
23166,1.0000,0.0000,0.0000,0.0000,,0.9987,0.0001,0.0000,0.0011,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0001,0.0000,0.0011,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0001,0.0000,0.0011,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0001,0.0000,0.0011,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0001,0.0000,0.0011,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0001,0.0000,0.0011,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0001,0.0000,0.0010,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0001,0.0000,0.0010,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0002,0.0000,0.0010,
23166,1.0000,0.0000,0.0000,0.0000,,0.9988,0.0002,0.0000,0.0010,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0010,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0010,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0010,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0002,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0009,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0003,0.0000,0.0008,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0004,0.0000,0.0007,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0005,0.0000,0.0006,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0005,0.0000,0.0006,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0005,0.0000,0.0006,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0005,0.0000,0.0006,
23166,1.0000,0.0000,0.0000,0.0000,,0.9989,0.0005,0.0000,0.0006,
