,answer,,,,,output
,ch1,ch2,ch3,ch4,,ch1,ch2,ch3,ch4
0,1.0000,0.0000,0.0000,0.0000,,0.8858,0.0551,0.0002,0.0589,
1,1.0000,0.0000,0.0000,0.0000,,0.8859,0.0554,0.0002,0.0585,
2,1.0000,0.0000,0.0000,0.0000,,0.8858,0.0559,0.0002,0.0580,
3,1.0000,0.0000,0.0000,0.0000,,0.8857,0.0565,0.0002,0.0576,
4,1.0000,0.0000,0.0000,0.0000,,0.8856,0.0571,0.0002,0.0571,
5,1.0000,0.0000,0.0000,0.0000,,0.8853,0.0578,0.0002,0.0567,
6,1.0000,0.0000,0.0000,0.0000,,0.8850,0.0586,0.0002,0.0562,
7,1.0000,0.0000,0.0000,0.0000,,0.8847,0.0593,0.0002,0.0557,
8,1.0000,0.0000,0.0000,0.0000,,0.8844,0.0602,0.0002,0.0552,
9,1.0000,0.0000,0.0000,0.0000,,0.8840,0.0610,0.0002,0.0548,
10,1.0000,0.0000,0.0000,0.0000,,0.8837,0.0618,0.0002,0.0543,
11,1.0000,0.0000,0.0000,0.0000,,0.8834,0.0626,0.0002,0.0539,
12,1.0000,0.0000,0.0000,0.0000,,0.8830,0.0634,0.0002,0.0534,
13,1.0000,0.0000,0.0000,0.0000,,0.8826,0.0642,0.0002,0.0529,
14,1.0000,0.0000,0.0000,0.0000,,0.8822,0.0651,0.0002,0.0524,
15,1.0000,0.0000,0.0000,0.0000,,0.8819,0.0659,0.0002,0.0520,
16,1.0000,0.0000,0.0000,0.0000,,0.8815,0.0668,0.0002,0.0515,
17,1.0000,0.0000,0.0000,0.0000,,0.8811,0.0676,0.0002,0.0511,
18,1.0000,0.0000,0.0000,0.0000,,0.8808,0.0684,0.0002,0.0507,
19,1.0000,0.0000,0.0000,0.0000,,0.8804,0.0691,0.0002,0.0502,
20,1.0000,0.0000,0.0000,0.0000,,0.8801,0.0699,0.0002,0.0498,
21,1.0000,0.0000,0.0000,0.0000,,0.8797,0.0707,0.0002,0.0494,
22,1.0000,0.0000,0.0000,0.0000,,0.8792,0.0716,0.0002,0.0490,
23,1.0000,0.0000,0.0000,0.0000,,0.8787,0.0725,0.0002,0.0485,
24,1.0000,0.0000,0.0000,0.0000,,0.8781,0.0736,0.0002,0.0481,
25,1.0000,0.0000,0.0000,0.0000,,0.8774,0.0747,0.0002,0.0476,
26,1.0000,0.0000,0.0000,0.0000,,0.8767,0.0759,0.0002,0.0472,
27,1.0000,0.0000,0.0000,0.0000,,0.8759,0.0771,0.0002,0.0468,
28,1.0000,0.0000,0.0000,0.0000,,0.8751,0.0783,0.0002,0.0463,
29,1.0000,0.0000,0.0000,0.0000,,0.8742,0.0797,0.0002,0.0459,
30,1.0000,0.0000,0.0000,0.0000,,0.8732,0.0811,0.0002,0.0454,
31,1.0000,0.0000,0.0000,0.0000,,0.8722,0.0826,0.0002,0.0450,
32,1.0000,0.0000,0.0000,0.0000,,0.8712,0.0840,0.0002,0.0446,
33,1.0000,0.0000,0.0000,0.0000,,0.8702,0.0854,0.0002,0.0441,
34,1.0000,0.0000,0.0000,0.0000,,0.8691,0.0869,0.0002,0.0437,
35,1.0000,0.0000,0.0000,0.0000,,0.8681,0.0884,0.0002,0.0433,
36,1.0000,0.0000,0.0000,0.0000,,0.8669,0.0899,0.0002,0.0429,
37,1.0000,0.0000,0.0000,0.0000,,0.8658,0.0915,0.0002,0.0425,
38,1.0000,0.0000,0.0000,0.0000,,0.8647,0.0930,0.0002,0.0421,
39,1.0000,0.0000,0.0000,0.0000,,0.8636,0.0944,0.0002,0.0417,
40,1.0000,0.0000,0.0000,0.0000,,0.8626,0.0958,0.0002,0.0414,
41,1.0000,0.0000,0.0000,0.0000,,0.8616,0.0972,0.0002,0.0410,
42,1.0000,0.0000,0.0000,0.0000,,0.8607,0.0984,0.0002,0.0407,
43,1.0000,0.0000,0.0000,0.0000,,0.8599,0.0996,0.0002,0.0403,
44,1.0000,0.0000,0.0000,0.0000,,0.8591,0.1007,0.0002,0.0400,
45,1.0000,0.0000,0.0000,0.0000,,0.8582,0.1019,0.0002,0.0397,
46,1.0000,0.0000,0.0000,0.0000,,0.8574,0.1030,0.0002,0.0393,
47,1.0000,0.0000,0.0000,0.0000,,0.8566,0.1042,0.0002,0.0390,
48,1.0000,0.0000,0.0000,0.0000,,0.8559,0.1052,0.0002,0.0387,
49,1.0000,0.0000,0.0000,0.0000,,0.8552,0.1062,0.0002,0.0383,
50,1.0000,0.0000,0.0000,0.0000,,0.8545,0.1072,0.0002,0.0380,
51,1.0000,0.0000,0.0000,0.0000,,0.8539,0.1083,0.0002,0.0376,
52,1.0000,0.0000,0.0000,0.0000,,0.8531,0.1094,0.0002,0.0373,
53,1.0000,0.0000,0.0000,0.0000,,0.8523,0.1105,0.0002,0.0369,
54,1.0000,0.0000,0.0000,0.0000,,0.8515,0.1117,0.0002,0.0366,
55,1.0000,0.0000,0.0000,0.0000,,0.8506,0.1129,0.0002,0.0362,
56,1.0000,0.0000,0.0000,0.0000,,0.8498,0.1142,0.0002,0.0358,
57,1.0000,0.0000,0.0000,0.0000,,0.8488,0.1154,0.0002,0.0355,
