,answer,,,,,output,,,
,ch1,ch2,ch3,ch4,,ch1,ch2,ch3,ch4
0,1,0,0,0,,0.9308,0.0633,0.0004,0.0021
1,1,0,0,0,,0.9345,0.06,0.0004,0.0021
2,1,0,0,0,,0.9379,0.0571,0.0004,0.0021
3,1,0,0,0,,0.941,0.0544,0.0003,0.0022
4,1,0,0,0,,0.9439,0.0518,0.0003,0.0022
5,1,0,0,0,,0.9466,0.0495,0.0003,0.0022
6,1,0,0,0,,0.949,0.0474,0.0003,0.0023
7,1,0,0,0,,0.9511,0.0455,0.0003,0.0023
8,1,0,0,0,,0.953,0.0439,0.0003,0.0023
9,1,0,0,0,,0.9548,0.0423,0.0003,0.0024
10,1,0,0,0,,0.9565,0.0409,0.0003,0.0024
11,1,0,0,0,,0.958,0.0395,0.0003,0.0024
12,1,0,0,0,,0.9596,0.0381,0.0003,0.0025
13,1,0,0,0,,0.961,0.0368,0.0003,0.0025
14,1,0,0,0,,0.9624,0.0356,0.0003,0.0025
15,1,0,0,0,,0.9637,0.0345,0.0003,0.0026
16,1,0,0,0,,0.9649,0.0334,0.0003,0.0026
17,1,0,0,0,,0.9662,0.0322,0.0003,0.0026
18,1,0,0,0,,0.9674,0.0311,0.0003,0.0027
19,1,0,0,0,,0.9687,0.03,0.0003,0.0027
20,1,0,0,0,,0.9699,0.0289,0.0003,0.0028
21,1,0,0,0,,0.9711,0.0279,0.0002,0.0028
22,1,0,0,0,,0.9722,0.0269,0.0002,0.0029
23,1,0,0,0,,0.9731,0.026,0.0002,0.0029
24,1,0,0,0,,0.974,0.0253,0.0002,0.003
25,1,0,0,0,,0.9747,0.0246,0.0002,0.003
26,1,0,0,0,,0.9754,0.024,0.0002,0.003
27,1,0,0,0,,0.9761,0.0233,0.0002,0.0031
28,1,0,0,0,,0.9768,0.0227,0.0002,0.0031
29,1,0,0,0,,0.9775,0.0221,0.0002,0.0032
30,1,0,0,0,,0.9781,0.0216,0.0002,0.0032
31,1,0,0,0,,0.9787,0.021,0.0002,0.0032
32,1,0,0,0,,0.9793,0.0205,0.0002,0.0033
33,1,0,0,0,,0.9799,0.02,0.0002,0.0033
34,1,0,0,0,,0.9804,0.0194,0.0002,0.0034
35,1,0,0,0,,0.981,0.0189,0.0002,0.0034
36,1,0,0,0,,0.9815,0.0185,0.0002,0.0035
37,1,0,0,0,,0.982,0.018,0.0002,0.0035
38,1,0,0,0,,0.9824,0.0176,0.0002,0.0036
39,1,0,0,0,,0.9829,0.0172,0.0002,0.0036
40,1,0,0,0,,0.9833,0.0168,0.0002,0.0037
41,1,0,0,0,,0.9838,0.0164,0.0002,0.0037
42,1,0,0,0,,0.9842,0.016,0.0002,0.0038
43,1,0,0,0,,0.9846,0.0156,0.0002,0.0038
44,1,0,0,0,,0.985,0.0152,0.0002,0.0039
45,1,0,0,0,,0.9854,0.0149,0.0002,0.0039
46,1,0,0,0,,0.9858,0.0145,0.0002,0.004
47,1,0,0,0,,0.9862,0.0141,0.0002,0.0041
48,1,0,0,0,,0.9866,0.0137,0.0002,0.0041
49,1,0,0,0,,0.987,0.0134,0.0002,0.0042
50,1,0,0,0,,0.9874,0.013,0.0002,0.0043
51,1,0,0,0,,0.9877,0.0127,0.0002,0.0044
52,1,0,0,0,,0.9881,0.0124,0.0002,0.0044
53,1,0,0,0,,0.9884,0.012,0.0002,0.0045
54,1,0,0,0,,0.9888,0.0117,0.0002,0.0046
